track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,mode,bpm
4zN21mbAuaD0WqtmaTZZeP,0.0127,0.847,0.69,6e-05,0.0526,-7.877,0.0493,0.692,0,125.004
7ef4DlsgrMEH11cDZd32M6,0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0.11,0.592,0,123.994
6Uj1ctrBOjOas8xZXGqKk4,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,0.881,0,107.998
48QmG1dfvMuYLxMPt7KSRA,0.0466,0.742,0.882,0.0,0.206,-2.862,0.117,0.463,1,102.04
0HaRLPnr887lcQM2YQzkff,0.161,0.87,0.479,0.000157,0.209,-7.779,0.165,0.717,1,104.059
5YbPxJwPfrj7uswNwoF1pJ,0.131,0.795,0.565,0.0,0.0802,-4.457,0.0948,0.55,0,87.925
0k2GOhqsrxDTAbFFSdNJjT,0.106,0.951,0.6,0.0,0.0712,-4.675,0.0685,0.822,0,125.04
2PDgArI0p7UkeYgXWuqpmh,0.131,0.795,0.565,0.0,0.0802,-4.457,0.0948,0.55,0,87.925
5qTvkDrSfvwDv6RBjjcfQr,0.615,0.735,0.824,0.0,0.158,-4.143,0.036,0.726,0,100.202
5FG7Tl93LdH117jEKYl3Cm,0.0266,0.849,0.707,8.58e-06,0.618,-6.002,0.113,0.602,1,104.027
